Item,Description,Proper,Vender Desc,UM,UL,Crew,Output,Material,Labor,Equipment,Total
22-13-16-10-8330,"CI Pipe, Blw Gr, no hub, 8"", 8x 2"" reducer","               8x2"" reducer","CI Pipe, Blw Gr, no hub, 8"", 8x 2"" reducer",EA,0.4,PLM,20,48.4,43.34,,$91.74
22-13-16-10-8350,"            10""","            10""",,,,,,,,,
22-13-16-10-8370,"CI Pipe, Blw Gr, no hub, 10"", 1/4 bend",               1/4 bend,"CI Pipe, Blw Gr, no hub, 10"", 1/4 bend",EA,0.5,PLM,16,308,54.56,,$362.56
22-13-16-10-8390,"CI Pipe, Blw Gr, no hub, 10"", 1/8 bend",               1/8 bend,"CI Pipe, Blw Gr, no hub, 10"", 1/8 bend",EA,0.5,PLM,16,202.4,54.56,,$256.96
22-13-16-10-8410,"CI Pipe, Blw Gr, no hub, 10"", plug",               Plug,"CI Pipe, Blw Gr, no hub, 10"", plug",EA,,,,,,,$96.80
22-13-16-10-8460,"CI Pipe, Blw Gr, no hub, 10"", wye",               Wye,"CI Pipe, Blw Gr, no hub, 10"", wye",EA,1,PLM,8,448.8,105.6,,$554.40
22-13-16-10-8480,"CI Pipe, Blw Gr, no hub, 10"", 10x 8"" wye","               10x8"" wye","CI Pipe, Blw Gr, no hub, 10"", 10x 8"" wye",EA,1,PLM,8,396,105.6,,$501.60
22-13-16-10-8500,"CI Pipe, Blw Gr, no hub, 10"", 10x 6"" wye","               10x6"" wye","CI Pipe, Blw Gr, no hub, 10"", 10x 6"" wye",EA,1,PLM,8,325.6,105.6,,$431.20
22-13-16-10-8530,"CI Pipe, Blw Gr, no hub, 10"", 10x 4"" wye","               10x4"" wye","CI Pipe, Blw Gr, no hub, 10"", 10x 4"" wye",EA,1,PLM,8,316.8,105.6,,$422.40
22-13-16-10-8550,"CI Pipe, Blw Gr, no hub, 10"", 10x 8"" reducer","               10x8"" reducer","CI Pipe, Blw Gr, no hub, 10"", 10x 8"" reducer",EA,0.5,PLM,16,114.4,54.56,,$168.96
22-13-16-10-8570,"CI Pipe, Blw Gr, no hub, 10"", 10x 6"" reducer","               10x6"" reducer","CI Pipe, Blw Gr, no hub, 10"", 10x 6"" reducer",EA,0.5,PLM,16,105.6,54.56,,$160.16
22-13-16-30,ABS DWV PIPE,ABS DWV PIPE,ABS DWV PIPE,,,,,,,,
22-13-16-30-1480,      Schedule 40 ABS,      Schedule 40 ABS,,,,,,,,,
22-13-16-30-1500,"ABS DWV pipe, sch 40, 1-1/2"" pipe","               1-1/2"" pipe","ABS DWV pipe, sch 40, 1-1/2"" pipe",LF,0.04,PLM,200,1.88,4.34,,$6.22
22-13-16-30-1520,"ABS DWV pipe, sch 40, 2"" pipe","               2"" pipe","ABS DWV pipe, sch 40, 2"" pipe",LF,0.044,PLM,180,2.53,4.82,,$7.35
22-13-16-30-1530,"ABS DWV pipe, sch 40, 3"" pipe","               3"" pipe","ABS DWV pipe, sch 40, 3"" pipe",LF,0.057,PLM,140,5.17,6.2,,$11.36
22-13-16-30-1540,"ABS DWV pipe, sch 40, 4"" pipe","               4"" pipe","ABS DWV pipe, sch 40, 4"" pipe",LF,0.08,PLM,100,7.32,8.68,,$16.00
22-13-16-30-1550,"ABS DWV pipe, sch 40, 6"" pipe","               6"" pipe","ABS DWV pipe, sch 40, 6"" pipe",LF,0.1,PLM,80,14.96,10.78,,$25.74
22-13-16-30-1555,         Fittings,         Fittings,,,,,,,,,
22-13-16-30-1660,            1/8 bend,            1/8 bend,,,,,,,,,
22-13-16-30-1670,"ABS DWV pipe, sch 40, 1/8 bend, 1-1/2""","               1-1/2""","ABS DWV pipe, sch 40, 1/8 bend, 1-1/2""",EA,0.16,PLM,50,2.39,17.38,,$19.77
22-13-16-30-1680,"ABS DWV pipe, sch 40, 1/8 bend, 2""","               2""","ABS DWV pipe, sch 40, 1/8 bend, 2""",EA,0.2,PLM,40,3.52,21.78,,$25.30
22-13-16-30-1690,"ABS DWV pipe, sch 40, 1/8 bend, 3""","               3""","ABS DWV pipe, sch 40, 1/8 bend, 3""",EA,0.267,PLM,30,8.47,29.04,,$37.51
22-13-16-30-1700,"ABS DWV pipe, sch 40, 1/8 bend, 4""","               4""","ABS DWV pipe, sch 40, 1/8 bend, 4""",EA,0.32,PLM,25,14.96,34.76,,$49.72
22-13-16-30-1720,"ABS DWV pipe, sch 40, 1/8 bend, 6""","               6""","ABS DWV pipe, sch 40, 1/8 bend, 6""",EA,0.4,PLM,20,61.6,43.34,,$104.94
22-13-16-30-1730,"            Tee, sanitary","            Tee, sanitary",,,,,,,,,
22-13-16-30-1740,"ABS DWV pipe, sch 40, tee, sanitary, 1-1/2""","               1-1/2""","ABS DWV pipe, sch 40, tee, sanitary, 1-1/2""",EA,0.267,PLM,30,3.47,29.04,,$32.51
22-13-16-30-1750,"ABS DWV pipe, sch 40, tee, sanitary, 2""","               2""","ABS DWV pipe, sch 40, tee, sanitary, 2""",EA,0.32,PLM,25,5.35,34.76,,$40.11
22-13-16-30-1760,"ABS DWV pipe, sch 40, tee, sanitary, 3""","               3""","ABS DWV pipe, sch 40, tee, sanitary, 3""",EA,0.4,PLM,20,14.52,43.34,,$57.86
22-13-16-30-1770,"ABS DWV pipe, sch 40, tee, sanitary, 4""","               4""","ABS DWV pipe, sch 40, tee, sanitary, 4""",EA,0.5,PLM,16,26.62,54.56,,$81.18
22-13-16-30-1780,"ABS DWV pipe, sch 40, tee, sanitary, 6""","               6""","ABS DWV pipe, sch 40, tee, sanitary, 6""",EA,0.667,PLM,12,114.4,72.16,,$186.56
22-13-16-30-1800,"            Tee, sanitary reducing","            Tee, sanitary reducing",,,,,,,,,
22-13-16-30-1810,"ABS DWV pipe, sch 40, tee, san reduc, 2x 1-1/2x 1-1/2",               2 x 1-1/2 x 1-1/2,"ABS DWV pipe, sch 40, tee, san reduc, 2x 1-1/2x 1-1/2",EA,0.32,PLM,25,4.92,34.76,,$39.68
22-13-16-30-1820,"ABS DWV pipe, sch 40, tee, sanit reducing, 2x 1-1/2x 2",               2 x 1-1/2 x 2,"ABS DWV pipe, sch 40, tee, sanit reducing, 2x 1-1/2x 2",EA,0.333,PLM,24,5.06,36.08,,$41.14
22-13-16-30-1830,"ABS DWV pipe, sch 40, tee, sanit reducing, 2x 2x 1-1/2",               2 x 2 x 1-1/2,"ABS DWV pipe, sch 40, tee, sanit reducing, 2x 2x 1-1/2",EA,0.364,PLM,22,4.71,39.38,,$44.09
22-13-16-30-1840,"ABS DWV pipe, sch 40, tee, sanit reducing, 3x 3x 1-1/2",               3 x 3 x 1-1/2,"ABS DWV pipe, sch 40, tee, sanit reducing, 3x 3x 1-1/2",EA,0.4,PLM,20,8.54,43.34,,$51.88
22-13-16-30-1850,"ABS DWV pipe, sch 40, tee, sanit reducing, 3x 3x 2",               3 x 3 x 2,"ABS DWV pipe, sch 40, tee, sanit reducing, 3x 3x 2",EA,0.444,PLM,18,10.56,48.4,,$58.96
22-13-16-30-1860,"ABS DWV pipe, sch 40, tee, sanit reducing, 4x 4x 1-1/2",               4 x 4 x 1-1/2,"ABS DWV pipe, sch 40, tee, sanit reducing, 4x 4x 1-1/2",EA,0.5,PLM,16,26.62,54.56,,$81.18
22-13-16-30-1870,"ABS DWV pipe, sch 40, tee, sanitary reducing, 4x 4x 2",               4 x 4 x 2,"ABS DWV pipe, sch 40, tee, sanitary reducing, 4x 4x 2",EA,0.571,PLM,14,24.86,61.6,,$86.46
22-13-16-30-1880,"ABS DWV pipe, sch 40, tee, sanitary reducing, 4x 4x 3",               4 x 4 x 3,"ABS DWV pipe, sch 40, tee, sanitary reducing, 4x 4x 3",EA,0.615,PLM,13,21.56,66.88,,$88.44
22-13-16-30-1890,"ABS DWV pipe, sch 40, tee, sanitary reducing, 6x 6x 4",               6 x 6 x 4,"ABS DWV pipe, sch 40, tee, sanitary reducing, 6x 6x 4",EA,0.667,PLM,12,114.4,72.16,,$186.56
22-13-16-30-1900,            Wye,            Wye,,,,,,,,,
22-13-16-30-1910,"ABS DWV pipe, sch 40, wye, 1-1/2""","               1-1/2""","ABS DWV pipe, sch 40, wye, 1-1/2""",EA,0.229,PLM,35,5.06,24.86,,$29.92
22-13-16-30-1920,"ABS DWV pipe, sch 40, wye, 2""","               2""","ABS DWV pipe, sch 40, wye, 2""",EA,0.32,PLM,25,7.08,34.76,,$41.84
22-13-16-30-1930,"ABS DWV pipe, sch 40, wye, 3""","               3""","ABS DWV pipe, sch 40, wye, 3""",EA,0.4,PLM,20,16.28,43.34,,$59.62
22-13-16-30-1940,"ABS DWV pipe, sch 40, wye, 4""","               4""","ABS DWV pipe, sch 40, wye, 4""",EA,0.5,PLM,16,34.98,54.56,,$89.54
22-13-16-30-1950,"ABS DWV pipe, sch 40, wye, 6""","               6""","ABS DWV pipe, sch 40, wye, 6""",EA,0.667,PLM,12,105.6,72.16,,$177.76
22-13-16-30-1960,            Reducer,            Reducer,,,,,,,,,
22-13-16-30-1970,"ABS DWV pipe, sch 40, reducer, 2x 1-1/2",               2 x 1-1/2,"ABS DWV pipe, sch 40, reducer, 2x 1-1/2",EA,0.2,PLM,40,3.41,21.78,,$25.19
22-13-16-30-1980,"ABS DWV pipe, sch 40, reducer, 3x 1-1/2",               3 x 1-1/2,"ABS DWV pipe, sch 40, reducer, 3x 1-1/2",EA,0.267,PLM,30,8.76,29.04,,$37.80
22-13-16-30-1990,"ABS DWV pipe, sch 40, reducer, 3x 2",               3 x 2,"ABS DWV pipe, sch 40, reducer, 3x 2",EA,0.267,PLM,30,7.45,29.04,,$36.49
22-13-16-30-2000,"ABS DWV pipe, sch 40, reducer, 4x 2",               4 x 2,"ABS DWV pipe, sch 40, reducer, 4x 2",EA,0.32,PLM,25,14.96,34.76,,$49.72
22-13-16-30-2010,"ABS DWV pipe, sch 40, reducer, 4x 3",               4 x 3,"ABS DWV pipe, sch 40, reducer, 4x 3",EA,0.32,PLM,25,15.4,34.76,,$50.16
22-13-16-30-2020,"ABS DWV pipe, sch 40, reducer, 6x 4",               6 x 4,"ABS DWV pipe, sch 40, reducer, 6x 4",EA,0.4,PLM,20,31.9,43.34,,$75.24
22-13-16-30-2030,            P-trap,            P-trap,,,,,,,,,
22-13-16-30-2040,"ABS DWV pipe, sch 40, p-trap, 1-1/2""","               1-1/2""","ABS DWV pipe, sch 40, p-trap, 1-1/2""",EA,0.267,PLM,30,7.89,29.04,,$36.93
22-13-16-30-2050,"ABS DWV pipe, sch 40, p-trap, 2""","               2""","ABS DWV pipe, sch 40, p-trap, 2""",EA,0.296,PLM,27,10.56,32.12,,$42.68
22-13-16-30-2060,"ABS DWV pipe, sch 40, p-trap, 3""","               3""","ABS DWV pipe, sch 40, p-trap, 3""",EA,0.348,PLM,23,40.7,37.84,,$78.54
22-13-16-30-2070,"ABS DWV pipe, sch 40, p-trap, 4""","               4""","ABS DWV pipe, sch 40, p-trap, 4""",EA,0.4,PLM,20,83.6,43.34,,$126.94
22-13-16-30-2080,"ABS DWV pipe, sch 40, p-trap, 6""","               6""","ABS DWV pipe, sch 40, p-trap, 6""",EA,0.5,PLM,16,132,54.56,,$186.56
22-13-16-30-2120,            Double sanitary tee,            Double sanitary tee,,,,,,,,,
22-13-16-30-2130,"ABS DWV pipe, sch 40, double sanitary, tee, 1-1/2""","               1-1/2""","ABS DWV pipe, sch 40, double sanitary, tee, 1-1/2""",EA,0.32,PLM,25,7.66,34.76,,$42.42
22-13-16-30-2140,"ABS DWV pipe, sch 40, double sanitary, tee, 2""","               2""","ABS DWV pipe, sch 40, double sanitary, tee, 2""",EA,0.4,PLM,20,11.22,43.34,,$54.56
22-13-16-30-2150,"ABS DWV pipe, sch 40, double sanitary, tee, 3""","               3""","ABS DWV pipe, sch 40, double sanitary, tee, 3""",EA,0.5,PLM,16,30.58,54.56,,$85.14
22-13-16-30-2160,"ABS DWV pipe, sch 40, double sanitary, tee, 4""","               4""","ABS DWV pipe, sch 40, double sanitary, tee, 4""",EA,0.667,PLM,12,49.28,72.16,,$121.44
22-13-16-30-2200,"            Long sweep, 1/4 bend","            Long sweep, 1/4 bend",,,,,,,,,
22-13-16-30-2210,"ABS DWV pipe, sch 40, long sweep, 1/4 bend, 1-1/2""","               1-1/2""","ABS DWV pipe, sch 40, long sweep, 1/4 bend, 1-1/2""",EA,0.16,PLM,50,3.98,17.38,,$21.36
22-13-16-30-2220,"ABS DWV pipe, sch 40, long sweep, 1/4 bend, 2""","               2""","ABS DWV pipe, sch 40, long sweep, 1/4 bend, 2""",EA,0.2,PLM,40,5.06,21.78,,$26.84
22-13-16-30-2230,"ABS DWV pipe, sch 40, long sweep, 1/4 bend, 3""","               3""","ABS DWV pipe, sch 40, long sweep, 1/4 bend, 3""",EA,0.267,PLM,30,12.32,29.04,,$41.36
22-13-16-30-2240,"ABS DWV pipe, sch 40, long sweep, 1/4 bend, 4""","               4""","ABS DWV pipe, sch 40, long sweep, 1/4 bend, 4""",EA,0.4,PLM,20,22.44,43.34,,$65.78
22-13-16-30-2250,"            Wye, standard","            Wye, standard",,,,,,,,,
22-13-16-30-2260,"ABS DWV pipe, sch 40, wye, standard, 1-1/2""","               1-1/2""","ABS DWV pipe, sch 40, wye, standard, 1-1/2""",EA,0.267,PLM,30,5.11,29.04,,$34.15
22-13-16-30-2270,"ABS DWV pipe, sch 40, wye, standard, 2""","               2""","ABS DWV pipe, sch 40, wye, standard, 2""",EA,0.32,PLM,25,7.08,34.76,,$41.84
22-13-16-30-2280,"ABS DWV pipe, sch 40, wye, standard, 3""","               3""","ABS DWV pipe, sch 40, wye, standard, 3""",EA,0.4,PLM,20,16.28,43.34,,$59.62
22-13-16-30-2290,"ABS DWV pipe, sch 40, wye, standard, 4""","               4""","ABS DWV pipe, sch 40, wye, standard, 4""",EA,0.5,PLM,16,34.98,54.56,,$89.54
22-13-16-30-2300,"            Wye, reducing","            Wye, reducing",,,,,,,,,
22-13-16-30-2310,"ABS DWV pipe, sch 40, wye, reducing, 2x 1-1/2x 1-1/2",               2 x 1-1/2 x 1-1/2,"ABS DWV pipe, sch 40, wye, reducing, 2x 1-1/2x 1-1/2",EA,0.267,PLM,30,9.46,29.04,,$38.50
22-13-16-30-2320,"ABS DWV pipe, sch 40, wye, reducing, 2x 2x 1-1/2",               2 x 2 x 1-1/2,"ABS DWV pipe, sch 40, wye, reducing, 2x 2x 1-1/2",EA,0.32,PLM,25,9.02,34.76,,$43.78
22-13-16-30-2340,"ABS DWV pipe, sch 40, wye, reducing, 4x 4x 2",               4 x 4 x 2,"ABS DWV pipe, sch 40, wye, reducing, 4x 4x 2",EA,0.5,PLM,16,19.14,54.56,,$73.70
22-13-16-30-2350,"ABS DWV pipe, sch 40, wye, reducing, 4x 4x 3",               4 x 4 x 3,"ABS DWV pipe, sch 40, wye, reducing, 4x 4x 3",EA,0.533,PLM,15,26.4,58.08,,$84.48
22-13-16-30-2360,            Double wye,            Double wye,,,,,,,,,
22-13-16-30-2370,"ABS DWV pipe, sch 40, double wye, 1-1/2""","               1-1/2""","ABS DWV pipe, sch 40, double wye, 1-1/2""",EA,0.32,PLM,25,11.66,34.76,,$46.42
22-13-16-30-2380,"ABS DWV pipe, sch 40, double wye, 2""","               2""","ABS DWV pipe, sch 40, double wye, 2""",EA,0.4,PLM,20,13.86,43.34,,$57.20
22-13-16-30-2390,"ABS DWV pipe, sch 40, double wye, 3""","               3""","ABS DWV pipe, sch 40, double wye, 3""",EA,0.5,PLM,16,35.42,54.56,,$89.98
22-13-16-30-2400,"ABS DWV pipe, sch 40, double wye, 4""","               4""","ABS DWV pipe, sch 40, double wye, 4""",EA,0.667,PLM,12,72.16,72.16,,$144.32
22-13-16-30-2410,"ABS DWV pipe, sch 40, double wye, 2x 2x 1-1/2x 1-1/2",               2 x 2 x 1-1/2 x 1-1/2,"ABS DWV pipe, sch 40, double wye, 2x 2x 1-1/2x 1-1/2",EA,0.4,PLM,20,13.64,43.34,,$56.98
22-13-16-30-2420,"ABS DWV pipe, sch 40, double wye, 3x 3x 2x 2",               3 x 3 x 2 x 2,"ABS DWV pipe, sch 40, double wye, 3x 3x 2x 2",EA,0.5,PLM,16,29.04,54.56,,$83.60
22-13-16-30-2430,"ABS DWV pipe, sch 40, double wye, 4x 4x 3x 3",               4 x 4 x 3 x 3,"ABS DWV pipe, sch 40, double wye, 4x 4x 3x 3",EA,0.667,PLM,12,67.76,72.16,,$139.92
22-13-16-30-2440,            Combination wye and 1/8 bend,            Combination wye and 1/8 bend,,,,,,,,,
22-13-16-30-2450,"ABS DWV pipe, sch 40, comb wye and 1/8 bend, 1-1/2""","               1-1/2""","ABS DWV pipe, sch 40, comb wye and 1/8 bend, 1-1/2""",EA,0.267,PLM,30,8.1,29.04,,$37.14
22-13-16-30-2460,"ABS DWV pipe, sch 40, comb wye and 1/8 bend, 2""","               2""","ABS DWV pipe, sch 40, comb wye and 1/8 bend, 2""",EA,0.32,PLM,25,9.68,34.76,,$44.44
22-13-16-30-2470,"ABS DWV pipe, sch 40, comb wye and 1/8 bend, 3""","               3""","ABS DWV pipe, sch 40, comb wye and 1/8 bend, 3""",EA,0.4,PLM,20,21.12,43.34,,$64.46
22-13-16-30-2480,"ABS DWV pipe, sch 40, comb wye and 1/8 bend, 4""","               4""","ABS DWV pipe, sch 40, comb wye and 1/8 bend, 4""",EA,0.5,PLM,16,42.9,54.56,,$97.46
22-13-16-30-2490,"ABS DWV pipe, sch 40, comb wye-1/8 bend, 2x 2x 1-1/2",               2 x 2 x 1-1/2,"ABS DWV pipe, sch 40, comb wye-1/8 bend, 2x 2x 1-1/2",EA,0.32,PLM,25,16.5,34.76,,$51.26
22-13-16-30-2500,"ABS DWV pipe, sch 40, comb wye-1/8 bend, 3x 3x 1-1/2",               3 x 3 x 1-1/2,"ABS DWV pipe, sch 40, comb wye-1/8 bend, 3x 3x 1-1/2",EA,0.4,PLM,20,20.02,43.34,,$63.36
22-13-16-30-2510,"ABS DWV pipe, sch 40, comb wye and 1/8 bend, 3x 3x 2",               3 x 3 x 2,"ABS DWV pipe, sch 40, comb wye and 1/8 bend, 3x 3x 2",EA,0.4,PLM,20,14.08,43.34,,$57.42
22-13-16-30-2520,"ABS DWV pipe, sch 40, comb wye and 1/8 bend, 4x 4x 2",               4 x 4 x 2,"ABS DWV pipe, sch 40, comb wye and 1/8 bend, 4x 4x 2",EA,0.5,PLM,16,27.72,54.56,,$82.28
22-13-16-30-2530,"ABS DWV pipe, sch 40, comb wye and 1/8 bend, 4x 4x 3",               4 x 4 x 3,"ABS DWV pipe, sch 40, comb wye and 1/8 bend, 4x 4x 3",EA,0.5,PLM,16,34.1,54.56,,$88.66
22-13-16-50,PLASTIC PIPE,PLASTIC PIPE,PLASTIC PIPE,,,,,,,,
22-13-16-50-1000,      Fiberglass reinforced pipe,      Fiberglass reinforced pipe,,,,,,,,,
22-13-16-50-1010,"Fiberglass reinforced, 2"" pipe","               2"" pipe","Fiberglass reinforced, 2"" pipe",LF,0.062,PLM,130,4.55,6.67,,$11.22
22-13-16-50-1020,"Fiberglass reinforced, 3"" pipe","               3"" pipe","Fiberglass reinforced, 3"" pipe",LF,0.067,PLM,120,6.49,7.23,,$13.72
22-13-16-50-1030,"Fiberglass reinforced, 4"" pipe","               4"" pipe","Fiberglass reinforced, 4"" pipe",LF,0.073,PLM,110,8.47,7.88,,$16.35
22-13-16-50-1040,"Fiberglass reinforced, 6"" pipe","               6"" pipe","Fiberglass reinforced, 6"" pipe",LF,0.08,PLM,100,16.28,8.68,,$24.96
22-13-16-50-1050,"Fiberglass reinforced, 8"" pipe","               8"" pipe","Fiberglass reinforced, 8"" pipe",LF,0.133,PLM,60,23.76,14.52,,$38.28
22-13-16-50-1060,"Fiberglass reinforced, 10"" pipe","               10"" pipe","Fiberglass reinforced, 10"" pipe",LF,0.16,PLM,50,35.42,17.38,,$52.80
22-13-16-50-1070,"Fiberglass reinforced, 12"" pipe","               12"" pipe","Fiberglass reinforced, 12"" pipe",LF,0.2,PLM,40,45.76,21.78,,$67.54
22-13-16-50-1075,         Fittings,         Fittings,,,,,,,,,
22-13-16-50-1080,"            90 deg elbow, flanged","            90 deg elbow, flanged",,,,,,,,,
22-13-16-50-1090,"Fiberglass reinforced, 90 deg elbow, flanged, 2""","               2""","Fiberglass reinforced, 90 deg elbow, flanged, 2""",EA,0.8,PLM,10,158.4,87.12,,$245.52
22-13-16-50-1100,"Fiberglass reinforced, 90 deg elbow, flanged, 3""","               3""","Fiberglass reinforced, 90 deg elbow, flanged, 3""",EA,0.889,PLM,9,202.4,96.8,,$299.20
22-13-16-50-1110,"Fiberglass reinforced, 90 deg elbow, flanged, 4""","               4""","Fiberglass reinforced, 90 deg elbow, flanged, 4""",EA,1,PLM,8,255.2,105.6,,$360.80
22-13-16-50-1120,"Fiberglass reinforced, 90 deg elbow, flanged, 6""","               6""","Fiberglass reinforced, 90 deg elbow, flanged, 6""",EA,1.333,PLM,6,466.4,140.8,,$607.20
22-13-16-50-1130,"Fiberglass reinforced, 90 deg elbow, flanged, 8""","               8""","Fiberglass reinforced, 90 deg elbow, flanged, 8""",EA,1.6,PLM,5,844.8,176,,"$1,020.80"
22-13-16-50-1140,"Fiberglass reinforced, 90 deg elbow, flanged, 10""","               10""","Fiberglass reinforced, 90 deg elbow, flanged, 10""",EA,2,PLM,4,1117.6,220,,"$1,337.60"
22-13-16-50-1150,"Fiberglass reinforced, 90 deg elbow, flanged, 12""","               12""","Fiberglass reinforced, 90 deg elbow, flanged, 12""",EA,2.667,PLM,3,1496,290.4,,"$1,786.40"
22-13-16-50-1160,"            45 deg elbow, flanged","            45 deg elbow, flanged",,,,,,,,,
22-13-16-50-1170,"Fiberglass reinforced, 45 deg elbow, flanged, 2""","               2""","Fiberglass reinforced, 45 deg elbow, flanged, 2""",EA,0.667,PLM,12,158.4,72.16,,$230.56
22-13-16-50-1180,"Fiberglass reinforced, 45 deg elbow, flanged, 3""","               3""","Fiberglass reinforced, 45 deg elbow, flanged, 3""",EA,0.8,PLM,10,202.4,87.12,,$289.52
22-13-16-50-1190,"Fiberglass reinforced, 45 deg elbow, flanged, 4""","               4""","Fiberglass reinforced, 45 deg elbow, flanged, 4""",EA,1,PLM,8,255.2,105.6,,$360.80
22-13-16-50-1200,"Fiberglass reinforced, 45 deg elbow, flanged, 6""","               6""","Fiberglass reinforced, 45 deg elbow, flanged, 6""",EA,1.333,PLM,6,466.4,140.8,,$607.20
22-13-16-50-1210,"Fiberglass reinforced, 45 deg elbow, flanged, 8""","               8""","Fiberglass reinforced, 45 deg elbow, flanged, 8""",EA,1.6,PLM,5,704,176,,$880.00
22-13-16-50-1220,"Fiberglass reinforced, 45 deg elbow, flanged, 10""","               10""","Fiberglass reinforced, 45 deg elbow, flanged, 10""",EA,2,PLM,4,941.6,220,,"$1,161.60"
22-13-16-50-1230,"Fiberglass reinf, 45 deg elbow, flanged, 12""","               12""","Fiberglass reinf, 45 deg elbow, flanged, 12""",EA,2.667,PLM,3,1196.8,290.4,,"$1,487.20"
22-13-16-50-1240,"            Tee, flanged","            Tee, flanged",,,,,,,,,
22-13-16-50-1250,"Fiberglass reinforced, tee, flanged, 2""","               2""","Fiberglass reinforced, tee, flanged, 2""",EA,1,PLM,8,211.2,105.6,,$316.80
22-13-16-50-1260,"Fiberglass reinforced, tee, flanged, 3""","               3""","Fiberglass reinforced, tee, flanged, 3""",EA,1.143,PLM,7,299.2,123.2,,$422.40
22-13-16-50-1270,"Fiberglass reinforced, tee, flanged, 4""","               4""","Fiberglass reinforced, tee, flanged, 4""",EA,1.333,PLM,6,334.4,140.8,,$475.20
22-13-16-50-1280,"Fiberglass reinforced, tee, flanged, 6""","               6""","Fiberglass reinforced, tee, flanged, 6""",EA,1.6,PLM,5,563.2,176,,$739.20
22-13-16-50-1290,"Fiberglass reinforced, tee, flanged, 8""","               8""","Fiberglass reinforced, tee, flanged, 8""",EA,2,PLM,4,1003.2,220,,"$1,223.20"
22-13-16-50-1300,"Fiberglass reinforced, tee, flanged, 10""","               10""","Fiberglass reinforced, tee, flanged, 10""",EA,2.667,PLM,3,1628,290.4,,"$1,918.40"
22-13-16-50-1310,"Fiberglass reinforced, tee, flanged, 12""","               12""","Fiberglass reinforced, tee, flanged, 12""",EA,4,PLM,2,2244,431.2,,"$2,675.20"
22-13-16-50-1320,"            Wye, flanged","            Wye, flanged",,,,,,,,,
22-13-16-50-1330,"Fiberglass reinforced, wye, flanged, 2""","               2""","Fiberglass reinforced, wye, flanged, 2""",EA,1,PLM,8,413.6,105.6,,$519.20
22-13-16-50-1340,"Fiberglass reinforced, wye, flanged, 3""","               3""","Fiberglass reinforced, wye, flanged, 3""",EA,1.143,PLM,7,572,123.2,,$695.20
22-13-16-50-1350,"Fiberglass reinforced, wye, flanged, 4""","               4""","Fiberglass reinforced, wye, flanged, 4""",EA,1.333,PLM,6,739.2,140.8,,$880.00
22-13-16-50-1360,"Fiberglass reinforced, wye, flanged, 6""","               6""","Fiberglass reinforced, wye, flanged, 6""",EA,1.6,PLM,5,941.6,176,,"$1,117.60"
22-13-16-50-1370,"Fiberglass reinforced, wye, flanged, 8""","               8""","Fiberglass reinforced, wye, flanged, 8""",EA,2,PLM,4,1601.6,220,,"$1,821.60"
22-13-16-50-1380,"Fiberglass reinforced, wye, flanged, 10""","               10""","Fiberglass reinforced, wye, flanged, 10""",EA,2.667,PLM,3,2728,290.4,,"$3,018.40"
22-13-16-50-1390,"Fiberglass reinforced, wye, flanged, 12""","               12""","Fiberglass reinforced, wye, flanged, 12""",EA,4,PLM,2,3502.4,431.2,,"$3,933.60"
22-13-16-50-1400,"            Concentric reducer, flanged","            Concentric reducer, flanged",,,,,,,,,
22-13-16-50-1410,"Fiberglass reinforced, concentr reducer, flanged, 2""","               2""","Fiberglass reinforced, concentr reducer, flanged, 2""",EA,0.667,PLM,12,316.8,72.16,,$388.96
22-13-16-50-1430,"Fiberglass reinforced, concentr reducer, flanged, 4""","               4""","Fiberglass reinforced, concentr reducer, flanged, 4""",EA,0.8,PLM,10,378.4,87.12,,$465.52
22-13-16-50-1440,"Fiberglass reinforced, concentr reducer, flanged, 6""","               6""","Fiberglass reinforced, concentr reducer, flanged, 6""",EA,1.143,PLM,7,404.8,123.2,,$528.00
22-13-16-50-1450,"Fiberglass reinforced, concentr reducer, flanged, 8""","               8""","Fiberglass reinforced, concentr reducer, flanged, 8""",EA,1.6,PLM,5,695.2,176,,$871.20
22-13-16-50-1460,"Fiberglass reinforced, concentr reducer, flanged, 10""","               10""","Fiberglass reinforced, concentr reducer, flanged, 10""",EA,2,PLM,4,800.8,220,,"$1,020.80"
22-13-16-50-1470,"Fiberglass reinforced, concentr reducer, flanged, 12""","               12""","Fiberglass reinforced, concentr reducer, flanged, 12""",EA,2.667,PLM,3,1152.8,290.4,,"$1,443.20"
22-13-16-50-1480,"            Adapter, bell x male or female","            Adapter, bell x male or female",,,,,,,,,
22-13-16-50-1490,"Fiberglass reinforced, adapter, bell x male/fem, 2""","               2""","Fiberglass reinforced, adapter, bell x male/fem, 2""",EA,0.667,PLM,12,20.68,72.16,,$92.84
22-13-16-50-1500,"Fiberglass reinforced, adapter, bell x male/fem, 3""","               3""","Fiberglass reinforced, adapter, bell x male/fem, 3""",EA,0.727,PLM,11,41.14,79.2,,$120.34
22-13-16-50-1510,"Fiberglass reinforced, adapter, bell x male/fem, 4""","               4""","Fiberglass reinforced, adapter, bell x male/fem, 4""",EA,0.8,PLM,10,43.56,87.12,,$130.68
22-13-16-50-1520,"Fiberglass reinforced, adapter, bell x male/fem, 6""","               6""","Fiberglass reinforced, adapter, bell x male/fem, 6""",EA,1.143,PLM,7,96.8,123.2,,$220.00
